Division,Sex,Min Age,Max Age,Min Weight,Max Weight,Max Grade,Min Grade,Match Time,Golden Score Time,Minimum Break Time
55-59 Women U 63kg,FEMALE,55,59,57.1,63,,ORANGE,150,60,600
55-59 Women U 70kg,FEMALE,55,59,63.1,70,,ORANGE,150,60,600
55-59 Women U 78kg,FEMALE,55,59,70.1,78,,ORANGE,150,60,600
55-59 Women + 78kg,FEMALE,55,59,78.1,,,ORANGE,150,60,600
60-64 Men U 60kg,MALE,60,64,,60,,ORANGE,150,60,600
60-64 Men U 66kg,MALE,60,64,60.1,66,,ORANGE,150,60,600
60-64 Men U 73kg,MALE,60,64,66.1,73,,ORANGE,150,60,600
60-64 Men U 81kg,MALE,60,64,73.1,81,,ORANGE,150,60,600
60-64 Men U 90kg,MALE,60,64,81.1,90,,ORANGE,150,60,600
60-64 Men U100kg,MALE,60,64,90.1,100,,ORANGE,150,60,600
60-64 Men +100kg,MALE,60,64,100.1,,,ORANGE,150,60,600
60-64 Women U 48kg,FEMALE,60,64,,48,,ORANGE,150,60,600
60-64 Women U 52kg,FEMALE,60,64,48.1,52,,ORANGE,150,60,600
60-64 Women U 57kg,FEMALE,60,64,52.1,57,,ORANGE,150,60,600
60-64 Women U 63kg,FEMALE,60,64,57.1,63,,ORANGE,150,60,600
60-64 Women U 70kg,FEMALE,60,64,63.1,70,,ORANGE,150,60,600
60-64 Women U 78kg,FEMALE,60,64,70.1,78,,ORANGE,150,60,600
60-64 Women + 78kg,FEMALE,60,64,78.1,,,ORANGE,150,60,600
65-69 Men U 60kg,MALE,65,69,,60,,ORANGE,150,60,600
65-69 Men U 66kg,MALE,65,69,60.1,66,,ORANGE,150,60,600
65-69 Men U 73kg,MALE,65,69,66.1,73,,ORANGE,150,60,600
65-69 Men U 81kg,MALE,65,69,73.1,81,,ORANGE,150,60,600
65-69 Men U 90kg,MALE,65,69,81.1,90,,ORANGE,150,60,600
65-69 Men U100kg,MALE,65,69,90.1,100,,ORANGE,150,60,600
65-69 Men +100kg,MALE,65,69,100.1,,,ORANGE,150,60,600
65-69 Women U 48kg,FEMALE,65,69,,48,,ORANGE,150,60,600
65-69 Women U 52kg,FEMALE,65,69,48.1,52,,ORANGE,150,60,600
65-69 Women U 57kg,FEMALE,65,69,52.1,57,,ORANGE,150,60,600
65-69 Women U 63kg,FEMALE,65,69,57.1,63,,ORANGE,150,60,600
65-69 Women U 70kg,FEMALE,65,69,63.1,70,,ORANGE,150,60,600
65-69 Women U 78kg,FEMALE,65,69,70.1,78,,ORANGE,150,60,600
65-69 Women + 78kg,FEMALE,65,69,78.1,,,ORANGE,150,60,600
70-74 Men U 60kg,MALE,70,74,,60,,ORANGE,150,60,600
70-74 Men U 66kg,MALE,70,74,60.1,66,,ORANGE,150,60,600
70-74 Men U 73kg,MALE,70,74,66.1,73,,ORANGE,150,60,600
70-74 Men U 81kg,MALE,70,74,73.1,81,,ORANGE,150,60,600
70-74 Men U 90kg,MALE,70,74,81.1,90,,ORANGE,150,60,600
70-74 Men U100kg,MALE,70,74,90.1,100,,ORANGE,150,60,600
70-74 Men +100kg,MALE,70,74,100.1,,,ORANGE,150,60,600
70-74 Women U 48kg,FEMALE,70,74,,48,,ORANGE,150,60,600
70-74 Women U 52kg,FEMALE,70,74,48.1,52,,ORANGE,150,60,600
70-74 Women U 57kg,FEMALE,70,74,52.1,57,,ORANGE,150,60,600
70-74 Women U 63kg,FEMALE,70,74,57.1,63,,ORANGE,150,60,600
70-74 Women U 70kg,FEMALE,70,74,63.1,70,,ORANGE,150,60,600
70-74 Women U 78kg,FEMALE,70,74,70.1,78,,ORANGE,150,60,600
70-74 Women + 78kg,FEMALE,70,74,78.1,,,ORANGE,150,60,600
75+ Men U 60kg,MALE,75,,,60,,ORANGE,150,60,600
75+ Men U 66kg,MALE,75,,60.1,66,,ORANGE,150,60,600
75+ Men U 73kg,MALE,75,,66.1,73,,ORANGE,150,60,600
75+ Men U 81kg,MALE,75,,73.1,81,,ORANGE,150,60,600
75+ Men U 90kg,MALE,75,,81.1,90,,ORANGE,150,60,600
75+ Men U100kg,MALE,75,,90.1,100,,ORANGE,150,60,600
75+ Men +100kg,MALE,75,,100.1,,,ORANGE,150,60,600
75+ Women U 48kg,FEMALE,75,,,48,,ORANGE,150,60,600
75+ Women U 52kg,FEMALE,75,,48.1,52,,ORANGE,150,60,600
75+ Women U 57kg,FEMALE,75,,52.1,57,,ORANGE,150,60,600
75+ Women U 63kg,FEMALE,75,,57.1,63,,ORANGE,150,60,600
75+ Women U 70kg,FEMALE,75,,63.1,70,,ORANGE,150,60,600
75+ Women U 78kg,FEMALE,75,,70.1,78,,ORANGE,150,60,600
75+ Women + 78kg,FEMALE,75,,78.1,,,ORANGE,150,60,600
