Division,Sex,Min Age,Max Age,Min Weight,Max Weight,Max Grade,Min Grade,Match Time,Golden Score Time,Minimum Break Time
Senior Girls + 63kg,FEMALE,12,14,63.1,,,ORANGE,180,0,360
Cadet Men U 50kg,MALE,15,17,,50,,GREEN,240,0,480
Cadet Men U 55kg,MALE,15,17,50.1,55,,GREEN,240,0,480
Cadet Men U 60kg,MALE,15,17,55.1,60,,GREEN,240,0,480
Cadet Men U 66kg,MALE,15,17,60.1,66,,GREEN,240,0,480
Cadet Men U 73kg,MALE,15,17,66.1,73,,GREEN,240,0,480
Cadet Men U 81kg,MALE,15,17,73.1,81,,GREEN,240,0,480
Cadet Men U 90kg,MALE,15,17,81.1,90,,GREEN,240,0,480
Cadet Men + 90kg,MALE,15,17,90.1,,,GREEN,240,0,480
Cadet Women U 40kg,FEMALE,15,17,,40,,GREEN,240,0,480
Cadet Women U 44kg,FEMALE,15,17,40.1,44,,GREEN,240,0,480
Cadet Women U 48kg,FEMALE,15,17,44.1,48,,GREEN,240,0,480
Cadet Women U 52kg,FEMALE,15,17,48.1,52,,GREEN,240,0,480
Cadet Women U 57kg,FEMALE,15,17,52.1,57,,GREEN,240,0,480
Cadet Women U 63kg,FEMALE,15,17,57.1,63,,GREEN,240,0,480
Cadet Women U 70kg,FEMALE,15,17,63.1,70,,GREEN,240,0,480
Cadet Women + 70kg,FEMALE,15,17,70.1,,,GREEN,240,0,480
Junior Men U 55kg,MALE,15,20,,55,,GREEN,240,0,480
Junior Men U 60kg,MALE,15,20,55.1,60,,GREEN,240,0,480
Junior Men U 66kg,MALE,15,20,60.1,66,,GREEN,240,0,480
Junior Men U 73kg,MALE,15,20,66.1,73,,GREEN,240,0,480
Junior Men U 81kg,MALE,15,20,73.1,81,,GREEN,240,0,480
Junior Men U 90kg,MALE,15,20,81.1,90,,GREEN,240,0,480
Junior Men U100kg,MALE,15,20,90.1,100,,GREEN,240,0,480
Junior Men +100kg,MALE,15,20,100.1,,,GREEN,240,0,480
Junior Women U 44kg,FEMALE,15,20,,44,,GREEN,240,0,480
Junior Women U 48kg,FEMALE,15,20,44.1,48,,GREEN,240,0,480
Junior Women U 52kg,FEMALE,15,20,48.1,52,,GREEN,240,0,480
Junior Women U 57kg,FEMALE,15,20,52.1,57,,GREEN,240,0,480
Junior Women U 63kg,FEMALE,15,20,57.1,63,,GREEN,240,0,480
Junior Women U 70kg,FEMALE,15,20,63.1,70,,GREEN,240,0,480
Junior Women U 78kg,FEMALE,15,20,70.1,78,,GREEN,240,0,480
Junior Women + 78kg,FEMALE,15,20,78.1,,,GREEN,240,0,480
Senior Men U 60kg,MALE,15,,,60,,GREEN,300,0,600
Senior Men U 66kg,MALE,15,,60.1,66,,GREEN,300,0,600
Senior Men U 73kg,MALE,15,,66.1,73,,GREEN,300,0,600
Senior Men U 81kg,MALE,15,,73.1,81,,GREEN,300,0,600
Senior Men U 90kg,MALE,15,,81.1,90,,GREEN,300,0,600
Senior Men U100kg,MALE,15,,90.1,100,,GREEN,300,0,600
Senior Men +100kg,MALE,15,,100.1,,,GREEN,300,0,600
Senior Men Open,MALE,15,,,,,GREEN,300,0,600
Senior Women U 48kg,FEMALE,15,,,48,,GREEN,240,0,600
Senior Women U 52kg,FEMALE,15,,48.1,52,,GREEN,240,0,600
Senior Women U 57kg,FEMALE,15,,52.1,57,,GREEN,240,0,600
Senior Women U 63kg,FEMALE,15,,57.1,63,,GREEN,240,0,600
Senior Women U 70kg,FEMALE,15,,63.1,70,,GREEN,240,0,600
Senior Women U 78kg,FEMALE,15,,70.1,78,,GREEN,240,0,600
Senior Women + 78kg,FEMALE,15,,78.1,,,GREEN,240,0,600
Senior Women Open,FEMALE,15,,,,,GREEN,240,0,600
