Fight,Player 1,Player 2
1,P1,P8
2,P4,P5
3,P2,P7
4,P3,P6
5,W1,W2
6,W3,W4
7,L4,L3
8,L2,L1
9,L5,W7
10,L6,W8
11,W5,W6
12,W9,W10
13,L11,W12
14,W11,W13
