Fight,Player 1,Player 2,iPoints,wPoints,yPoints,dPoints,lPoints
1,P1,P2,0,0,0,0,0
2,P4,P5,0,0,0,0,0
3,W1,P3,1,1,1,1,0
4,W3,W2,3,3,3,3,1
