Fight,Player 1,Player 2
1,P1,P2
2,P1,P3
3,P2,P3
4,P4,P5
5,RAT1-1-2-3,RAT3-1-2-3
6,W5,RAT2-1-2-3
7,RAP2-1-2-3|W6|L6,RBP2-4
8,RAP1-1-2-3|W6,RBP1-4
