Fight,Player 1,Player 2,iPoints,wPoints,yPoints,dPoints,lPoints
1,P1,P17,0,0,0,0,0
2,P9,P25,0,0,0,0,0
3,P5,P29,0,0,0,0,0
4,P13,P21,0,0,0,0,0
5,P3,P31,0,0,0,0,0
6,P11,P23,0,0,0,0,0
7,P7,P27,0,0,0,0,0
8,P15,P19,0,0,0,0,0
9,P2,P32,0,0,0,0,0
10,P10,P24,0,0,0,0,0
11,P6,P28,0,0,0,0,0
12,P14,P20,0,0,0,0,0
13,P4,P30,0,0,0,0,0
14,P12,P22,0,0,0,0,0
15,P8,P26,0,0,0,0,0
16,P16,P18,0,0,0,0,0
17,L1,L2,0,0,0,0,0
18,L3,L4,0,0,0,0,0
19,L5,L6,0,0,0,0,0
20,L7,L8,0,0,0,0,0
21,L9,L10,0,0,0,0,0
22,L11,L12,0,0,0,0,0
23,L13,L14,0,0,0,0,0
24,L15,L16,0,0,0,0,0
25,W1,W2,0,0,0,0,0
26,W3,W4,0,0,0,0,0
27,W5,W6,0,0,0,0,0
28,W7,W8,0,0,0,0,0
29,W9,W10,0,0,0,0,0
30,W11,W12,0,0,0,0,0
31,W13,W14,0,0,0,0,0
32,W15,W16,0,0,0,0,0
33,W17,L32,0,0,0,0,0
34,W18,L31,0,0,0,0,0
35,W19,L30,0,0,0,0,0
36,W20,L29,0,0,0,0,0
37,W21,L28,0,0,0,0,0
38,W22,L27,0,0,0,0,0
39,W23,L26,0,0,0,0,0
40,W24,L25,0,0,0,0,0
41,W25,W26,0,0,0,0,0
42,W27,W28,0,0,0,0,0
43,W29,W30,0,0,0,0,0
44,W31,W32,0,0,0,0,0
45,W33,W34,0,0,0,0,0
46,W35,W36,0,0,0,0,0
47,W37,W38,0,0,0,0,0
48,W39,W40,0,0,0,0,0
49,W45,L41,0,0,0,0,0
50,W46,L42,0,0,0,0,0
51,W47,L43,0,0,0,0,0
52,W48,L44,0,0,0,0,0
53,W41,W42,0,0,0,0,0
54,W43,W44,0,0,0,0,0
55,W49,W50,0,0,0,0,0
56,W51,W52,0,0,0,0,0
57,W55,L54,1,1,1,1,0
58,W56,L53,1,1,1,1,0
59,W53,W54,3,3,3,3,2
