"Fight","Player 1","Player 2","iPoints","wPoints","yPoints","kPoints","lPoints"
1,"P1","P2",10,7,5,3,0
2,"P3","P4",10,7,5,3,0
3,"P1","P5",10,7,5,3,0
4,"P2","P3",10,7,5,3,0
5,"P4","P5",10,7,5,3,0
6,"P1","P3",10,7,5,3,0
7,"P2","P4",10,7,5,3,0
8,"P3","P5",10,7,5,3,0
9,"P1","P4",10,7,5,3,0
10,"P2","P5",10,7,5,3,0
