Fight,Player 1,Player 2,iPoints,wPoints,yPoints,dPoints,lPoints
1,P1,P5,0,0,0,0,0
2,P3,P7,0,0,0,0,0
3,P2,P6,0,0,0,0,0
4,P4,P8,0,0,0,0,0
5,W1,W2,0,0,0,0,0
6,W3,W4,0,0,0,0,0
7,LW5,L5,1,1,1,1,0
8,LW6,L6,1,1,1,1,0
9,W5,W6,3,3,3,3,2
