Fight,Player 1,Player 2
1,P2,P3
2,P1,P4
3,P1,P3
4,P2,P4
5,P3,P4
6,P1,P2
7,RAT1-1-2-3-4-5-6,RAT3-1-2-3-4-5-6
8,W7,RAT2-1-2-3-4-5-6
