Place,Code
FIRST,RAP1-1-2-3-4-5-6-7-8-9-10|W14
SECOND,RAP2-1-2-3-4-5-6-7-8-9-10|W14|L14
THIRD,RAP3-1-2-3-4-5-6-7-8-9-10|W14|L14|LW14
FOURTH,RAP3-1-2-3-4-5-6-7-8-9-10|W14|L14|LL14
