Fight,Player 1,Player 2,iPoints,wPoints,yPoints,dPoints,lPoints
1,P1,P5,0,0,0,0,0
2,P3,P7,0,0,0,0,0
3,P2,P6,0,0,0,0,0
4,P4,P8,0,0,0,0,0
5,L1,L2,0,0,0,0,0
6,L3,L4,0,0,0,0,0
7,W1,W2,0,0,0,0,0
8,W3,W4,0,0,0,0,0
9,W5,L8,1,1,1,1,0
10,W6,L7,1,1,1,1,0
11,W7,W8,3,3,3,3,2
